description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
"5 Brighton Road in Worcester, MA was built in 1910 with a total of 1996 sq ft. The current listing price for this property is 229900 with a per sq ft price of 115.18. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Burncoat Street. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,8,256
"20 Park Villa Ave in Worcester, MA was built in 1923 with a total of 1786 sq ft. The current listing price for this property is 224900 with a per sq ft price of 125.92. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the North Worcester Neigborhood Worcester, MA-. Directions: West Boylston St to Malden St to Park Villa. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,257
"37 Meola Avenue in Worcester, MA was built in 2005 with a total of 1646 sq ft. The current listing price for this property is 189900 with a per sq ft price of 115.37. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: off West Boylston Street at the town line, exit 4 Rte. 190. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,4,6,258
"46 Christine St in Worcester, MA was built in 2009 with a total of 1515 sq ft. The current listing price for this property is 179900 with a per sq ft price of 118.75. The property has 2 floors, 6 bedrooms, 4 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Map Quest. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,2,6,259
"44 Dixfield St in Worcester, MA was built in 2010 with a total of 1600 sq ft. The current listing price for this property is 239900 with a per sq ft price of 149.94. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the North Worcester Neigborhood Worcester, MA-Burncoat. Directions: West Boylston Street to Cumberland, Rt. onto Dixfield. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,3,7,260
"66 Wilkinson St in Worcester, MA was built in 1920 with a total of 1264 sq ft. The current listing price for this property is 119000 with a per sq ft price of 94.15. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the Burncoat Neigborhood Worcester, MA-. Directions: Burncoat St to Blue Hill to Wilkinson. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,261
"87 Pocasset Ave in Worcester, MA was built in 1985 with a total of 1278 sq ft. The current listing price for this property is 179900 with a per sq ft price of 140.77. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat. Directions: Burncoat to Clark to Pocasset. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,6,262
"68 Brattle street in Worcester, MA was built in 1941 with a total of 1590 sq ft. The current listing price for this property is 198500 with a per sq ft price of 124.84. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat. Directions: Grove St. Rt.122A to Holden Street to Brattle Street. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,7,263
"17 Dixfield Street in Worcester, MA was built in 1989 with a total of 810 sq ft. The current listing price for this property is 124900 with a per sq ft price of 154.2. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: West Boylston St. to Cumberland Street to the end, left on Dixfield Street. Please contact emily who at ghi@jkl.com if interested.",2,0x796573,0x796573,0x796573,1,4,264
"53 Huntington Ave in Worcester, MA was built in 1938 with a total of 1265 sq ft. The current listing price for this property is 154900 with a per sq ft price of 122.45. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grove to Judson to Huntington or West Boylston to Huntington. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,265
"10 Dixfield Rd in Worcester, MA was built in 1984 with a total of 1400 sq ft. The current listing price for this property is 199900 with a per sq ft price of 142.79. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Summit Neigborhood Worcester, MA-. Directions: w.boylston to dixfield. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,266
"31 Mount Ave in Worcester, MA was built in 1963 with a total of 1388 sq ft. The current listing price for this property is 159000 with a per sq ft price of 114.55. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off West Boylston street left to Brook st right to Mount Ave. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,267
"1 Matteo St in Worcester, MA was built in 2000 with a total of 1132 sq ft. The current listing price for this property is 248900 with a per sq ft price of 219.88. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat. Directions: Burncoat St cross E Mountain St Matteo St will be about 1/2 mile on the R. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,5,268
"215 Burncoat St in Worcester, MA was built in 1958 with a total of 1256 sq ft. The current listing price for this property is 189900 with a per sq ft price of 151.19. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: OFF RT. 290. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,6,269
"18 Christine St in Worcester, MA was built in 1920 with a total of 1386 sq ft. The current listing price for this property is 130000 with a per sq ft price of 93.8. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Greendale Neigborhood Worcester, MA-. Directions: Burncoat to Bluehill to Christine  or USE GOOGLE MAPS. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,7,270
"6 Monomoy St in Worcester, MA was built in 1979 with a total of 1360 sq ft. The current listing price for this property is 189900 with a per sq ft price of 139.63. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Burncoat to Thorndyke to Baystate to Squantum to Longmeadow to Monomoy. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,7,271
"55 Kendrick Avenue in Worcester, MA was built in 1946 with a total of 1344 sq ft. The current listing price for this property is 185000 with a per sq ft price of 137.65. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the Burncoat Neigborhood Worcester, MA-. Directions: Off West Boylston Street on corner of Kendrick & Leeds. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,272
"32 Dodge Ave in Worcester, MA was built in 1985 with a total of 1236 sq ft. The current listing price for this property is 189500 with a per sq ft price of 153.32. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Greendale Neigborhood Worcester, MA-. Directions: West Boylston St. to Randolph Rd. to Dodge Ave.. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,6,273
"211 Holden St in Worcester, MA was built in 1928 with a total of 1136 sq ft. The current listing price for this property is 131750 with a per sq ft price of 115.98. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Grove St or Shore Dr. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,6,274
"32 Stoneleigh Rd in Worcester, MA was built in 1956 with a total of 1195 sq ft. The current listing price for this property is 204900 with a per sq ft price of 171.46. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Brattle to Stoneleigh. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,275
"67 Clark Street in Worcester, MA was built in 1925 with a total of 1127 sq ft. The current listing price for this property is 184900 with a per sq ft price of 164.06. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat. Directions: Burncoat to Clark. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,276
"275 Saint Nicholas Ave in Worcester, MA was built in 1963 with a total of 1188 sq ft. The current listing price for this property is 169900 with a per sq ft price of 143.01. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off of Clark. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,277
"55 SANTORO ROAD in Worcester, MA was built in 1993 with a total of 1782 sq ft. The current listing price for this property is 255000 with a per sq ft price of 143.1. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: .. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,278
"16 Kennebec Road in Worcester, MA was built in 2008 with a total of 1927 sq ft. The current listing price for this property is 210000 with a per sq ft price of 108.98. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Burncoat High. Directions: W. Boylston to Kennebec. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,6,279
"6 Rosita in Worcester, MA was built in 1925 with a total of 1055 sq ft. The current listing price for this property is 164900 with a per sq ft price of 156.3. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Greendale Neigborhood Worcester, MA-Burncoat. Directions: Gold Star Blvd to Gifford Dr to Rosita. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,280
"7 Longmeadow Ave in Worcester, MA was built in 1933 with a total of 1927 sq ft. The current listing price for this property is 228000 with a per sq ft price of 118.32. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Burncoat - Clark- Longmeadow. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,281
"63 Pocasset Ave in Worcester, MA was built in 1959 with a total of 1050 sq ft. The current listing price for this property is 189900 with a per sq ft price of 180.86. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Burncoat Neigborhood Worcester, MA-. Directions: Burncoat to Clark to Pocasset Ave. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,282
"84 Brattle St in Worcester, MA was built in 1943 with a total of 2592 sq ft. The current listing price for this property is 160000 with a per sq ft price of 61.73. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Ararat to Brattle St. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,283
"56 Forsberg Street in Worcester, MA was built in 1910 with a total of 2450 sq ft. The current listing price for this property is 169900 with a per sq ft price of 69.35. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Greenwood to Forsberg. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,11,284
"17 Halmstad Street in Worcester, MA was built in 1920 with a total of 2000 sq ft. The current listing price for this property is 194000 with a per sq ft price of 97. The property has 2 floors, 11 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Sullivan. Directions: MA Pike Exit 10A to Rt. 20 to Greenwood Street to Halmstad (1.5 off MASS PIKE 10A exit). Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,285
"81 Whipple St in Worcester, MA was built in 1953 with a total of 1963 sq ft. The current listing price for this property is 219999 with a per sq ft price of 112.07. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: mapquest. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,286
"11 Halmstad Street in Worcester, MA was built in 1919 with a total of 1682 sq ft. The current listing price for this property is 209000 with a per sq ft price of 124.26. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 4 parking spaces. The property is located in the  Neigborhood Worcester, MA-South High. Directions: Greenwood Street to Halmstad. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,287
"183 Svenson Avenue in Worcester, MA was built in 1948 with a total of 904 sq ft. The current listing price for this property is 64900 with a per sq ft price of 71.79. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Granite to Otto to Svenson. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,288
"8 Dybeck St in Worcester, MA was built in 1920 with a total of 1167 sq ft. The current listing price for this property is 145000 with a per sq ft price of 124.25. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the Quinsigamond Valley Neigborhood Worcester, MA-. Directions: Blackstone river rd to Whipple to Stockholm to Dybeck. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,289
"Lot 1 Baltic Road in Worcester, MA was built in 2012 with a total of 1562 sq ft. The current listing price for this property is 244900 with a per sq ft price of 156.79. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-South HS. Directions: Providence to Doane. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,290
"27 Louise St. in Worcester, MA was built in 1910 with a total of 1771 sq ft. The current listing price for this property is 122500 with a per sq ft price of 69.17. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Providence St. to Upsala, left to Louise. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,9,291
"15A Mallard Road in Worcester, MA was built in 1988 with a total of 1440 sq ft. The current listing price for this property is 125000 with a per sq ft price of 86.81. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Greenwood to Upland to Mallard - yellow house on left toward end of road. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,7,292
"64 UPLAND ST in Worcester, MA was built in 1940 with a total of 1256 sq ft. The current listing price for this property is 179999 with a per sq ft price of 143.31. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Greenwood Street to Upland Street. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,293
"47 Wachusett Street in Worcester, MA was built in 1923 with a total of 2107 sq ft. The current listing price for this property is 219900 with a per sq ft price of 104.37. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Highland to Wachusett. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,10,294
"45 Blossom St in Worcester, MA was built in 1890 with a total of 1190 sq ft. The current listing price for this property is 78500 with a per sq ft price of 65.97. The property has 2 floors, 10 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Ave to Elm St. to Russell St. to Blossom St.. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,295
"117 Newton Ave. N in Worcester, MA was built in 1951 with a total of 1289 sq ft. The current listing price for this property is 178500 with a per sq ft price of 138.48. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Salisbury St > Newton Ave. North. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,296
"31 Roxbury St in Worcester, MA was built in 1910 with a total of 2205 sq ft. The current listing price for this property is 239900 with a per sq ft price of 108.8. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Highland St. or Park Ave. to Roxbury St. House is on the right!. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,297
"781 Salisbury St in Worcester, MA was built in 1985 with a total of 2160 sq ft. The current listing price for this property is 230000 with a per sq ft price of 106.48. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Intersection of Salisbury St and Barrows Rd (close to the Holden Line). Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,298
"4 Hackfeld Rd in Worcester, MA was built in 1900 with a total of 2498 sq ft. The current listing price for this property is 189900 with a per sq ft price of 76.02. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 3 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Highland Street to Hackfeld Rd. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,10,299
"2 Einhorn Road in Worcester, MA was built in 1906 with a total of 2718 sq ft. The current listing price for this property is 235000 with a per sq ft price of 86.46. The property has 2 floors, 10 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: From Highland Street or Institute Road. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,9,300
"40-A Merrick St in Worcester, MA was built in 2007 with a total of 1536 sq ft. The current listing price for this property is 179900 with a per sq ft price of 117.12. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Ave. to Pleasant St. to Merrick. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,5,301
"53 Mooreland Green Dr in Worcester, MA was built in 1999 with a total of 1409 sq ft. The current listing price for this property is 245500 with a per sq ft price of 174.24. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: Mapquest. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,7,302
"11 Forest Hill Dr in Worcester, MA was built in 1971 with a total of 2040 sq ft. The current listing price for this property is 235000 with a per sq ft price of 115.2. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: From Salisbury Street take a left onto Moreland Street then a right onto Forest Hill Drive. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,303
"10 Laconia Road in Worcester, MA was built in 1956 with a total of 1377 sq ft. The current listing price for this property is 199500 with a per sq ft price of 144.88. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty. Directions: Salisbury St. to Forest St. to Nottingham Rd. to Laconia RD.. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,6,304
"41 Dick Dr in Worcester, MA was built in 1959 with a total of 2640 sq ft. The current listing price for this property is 250500 with a per sq ft price of 94.89. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Salisbury St > Barry RD or Spring Valley Road (left onto) > Dick Drive. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,4,8,305
"8 Crown St in Worcester, MA was built in 1870 with a total of 1827 sq ft. The current listing price for this property is 125000 with a per sq ft price of 68.42. The property has 2 floors, 8 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Crown. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,7,306
"11 Orrison St in Worcester, MA was built in 1898 with a total of 1200 sq ft. The current listing price for this property is 184900 with a per sq ft price of 154.08. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Moreland St to 11 Orrison, on left. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,307
"42 Moreland St in Worcester, MA was built in 1926 with a total of 1368 sq ft. The current listing price for this property is 144900 with a per sq ft price of 105.92. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Driveway access off Hillcrest. R onto W Pine>R onto Hilltop>R onto Oakknoll>R onto Hillcrest. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,6,308
"196 Austin St in Worcester, MA was built in 2004 with a total of 1218 sq ft. The current listing price for this property is 165000 with a per sq ft price of 135.47. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Austin to 196. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,309
"21 Townsend St in Worcester, MA was built in 1880 with a total of 1694 sq ft. The current listing price for this property is 132000 with a per sq ft price of 77.92. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant St to Hudson St to Townsend St. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,7,310
"630 Salisbury St in Worcester, MA was built in 1926 with a total of 1672 sq ft. The current listing price for this property is 249900 with a per sq ft price of 149.46. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Avenue to Salisbury Street. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,311
"38 Fairfax Rd in Worcester, MA was built in 1948 with a total of 984 sq ft. The current listing price for this property is 80000 with a per sq ft price of 81.3. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: please use mapquest :). Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,312
"1 Illinois Ct in Worcester, MA was built in 1890 with a total of 870 sq ft. The current listing price for this property is 79000 with a per sq ft price of 90.8. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Main St to Gates St to Illinois St to Illinois Ct. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,5,313
"20 Princeton St in Worcester, MA was built in 1880 with a total of 1775 sq ft. The current listing price for this property is 149900 with a per sq ft price of 84.45. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the College Hill Neigborhood Worcester, MA-. Directions: SOUTHBRIDGE TO PRINCETON. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,314
"10 Glade St in Worcester, MA was built in 1910 with a total of 1208 sq ft. The current listing price for this property is 79000 with a per sq ft price of 65.4. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Southbridge Street, Worcester/Auburn Line near College Hill. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,6,315
"35 Sterling St in Worcester, MA was built in 2007 with a total of 1650 sq ft. The current listing price for this property is 194900 with a per sq ft price of 118.12. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: View St., Or,  Seymour St., Or Windam St. To Sterling. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,3,6,316
"24 Davenport Street in Worcester, MA was built in 1923 with a total of 2191 sq ft. The current listing price for this property is 187900 with a per sq ft price of 85.76. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-South. Directions: College Street or Pakachoag Street (Auburn) to Electric Street to Davenport Street. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,9,317
"100 Kendig Street in Worcester, MA was built in 1947 with a total of 2147 sq ft. The current listing price for this property is 188000 with a per sq ft price of 87.56. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off College Hill. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,7,318
"28 Crompton St in Worcester, MA was built in 1905 with a total of 1292 sq ft. The current listing price for this property is 154900 with a per sq ft price of 119.89. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Southbridge St. @ Rotmans Furniture. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,7,319
"22 Benefit in Worcester, MA was built in 1891 with a total of 1597 sq ft. The current listing price for this property is 144900 with a per sq ft price of 90.73. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: mapquest. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,1,9,320
"3 Darling St in Worcester, MA was built in 1900 with a total of 1169 sq ft. The current listing price for this property is 129900 with a per sq ft price of 111.12. The property has 2 floors, 9 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Burncaost to Rexhame to Beverly to Darling. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,6,321
"56 Beacon Street in Boston, MA was built in 1819 with a total of 8682 sq ft. The current listing price for this property is 12500000 with a per sq ft price of 1439.76. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 4 parking spaces. The property is located in the Beacon Hill Neigborhood Boston, MA-. Directions: Beacon Street between Charles and Spruce Streets. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,8,13,322
"91 Mt. Vernon  St. in Boston, MA was built in 1850 with a total of 5023 sq ft. The current listing price for this property is 4750000 with a per sq ft price of 945.65. The property has 2 floors, 13 bedrooms, 8 bathrooms, and 0 parking spaces. The property is located in the Beacon Hill Neigborhood Boston, MA-. Directions: Storrow Drive to Charles Street  left on Mt. Vernon Street. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,5,15,323
"98 Mt. Vernon in Boston, MA was built in 1850 with a total of 5115 sq ft. The current listing price for this property is 4700000 with a per sq ft price of 918.87. The property has 2 floors, 15 bedrooms, 5 bathrooms, and 2 parking spaces. The property is located in the Beacon Hill Neigborhood Boston, MA-. Directions: Between West Cedar and Louisburg Square. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,6,17,324
"60 Chestnut Street in Boston, MA was built in 1824 with a total of 2815 sq ft. The current listing price for this property is 3800000 with a per sq ft price of 1349.91. The property has 2 floors, 17 bedrooms, 6 bathrooms, and 0 parking spaces. The property is located in the Beacon Hill Neigborhood Boston, MA-. Directions: Across corner at West Cedar St. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,5,9,325
"78 Beacon St in Boston, MA was built in 1848 with a total of 7878 sq ft. The current listing price for this property is 10750000 with a per sq ft price of 1364.56. The property has 2 floors, 9 bedrooms, 5 bathrooms, and 2 parking spaces. The property is located in the Beacon Hill Neigborhood Boston, MA-. Directions: .. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,8,14,326
